ID,Location,Burned,Year,Distance,Bee.Richness,Bee.Abundance,Butterfly.Richness,Butterfly.Abundance
45,Caney Creek,0,2016,0,13,27,7,21
46,Caney Creek,0,2016,50,7,11,2,4
47,Caney Creek,0,2016,100,6,23,6,19
48,Caney Creek,0,2016,150,7,19,5,19
49,Caney Creek,0,2016,200,8,20,2,7
50,Caney Creek,0,2016,250,9,17,5,9
51,Caney Creek,0,2016,300,19,64,10,33
52,Caney Creek,0,2016,350,9,32,6,23
53,Caney Creek,0,2016,399.738,11,39,8,18
54,Caney Creek,0,2016,449.002,9,32,8,31
55,Caney Creek,0,2016,493.639,16,59,5,16
56,Caney Creek,1,2016,0,20,49,10,36
57,Caney Creek,1,2016,49.689,26,66,9,27
58,Caney Creek,1,2016,99.715,16,52,9,37
59,Caney Creek,1,2016,150,12,44,9,21
60,Caney Creek,1,2016,199.816,13,35,7,27
61,Caney Creek,1,2016,249.755,11,31,5,18
62,Caney Creek,1,2016,299.61,9,25,4,19
63,Caney Creek,1,2016,349.295,8,28,2,13
64,Caney Creek,1,2016,399.147,15,55,9,34
65,Caney Creek,1,2016,449.452,12,49,10,30
66,Caney Creek,1,2016,499.253,16,70,5,35
